"id","condition","trial","gameType","S","T","opponentType","encounter","prediction","choice","opponent_choice","rt","reward"
7778355,"repeated",58,"SH",3,6,"trustful",13,-100,"cooperate","cooperate",6101.89999997616,10
7778355,"repeated",59,"PD",2,13,"optimist",15,-100,"cheat","cheat",3293.89999997616,5
7778355,"repeated",60,"HG",9,7,"trustful",14,-100,"cheat","cooperate",2611.79999995232,7
7778355,"repeated",61,"SG",7,13,"optimist",16,-100,"cooperate","cheat",4271.69999992847,7
7778355,"repeated",62,"PD",2,12,"optimist",17,-100,"cheat","cheat",3653.39999997616,5
7778355,"repeated",63,"HG",8,8,"envious",14,100,"cooperate","cheat",4852.80000007153,8
7778355,"repeated",64,"SH",3,6,"pessimist",19,100,"cheat","cheat",9753.5,5
7778355,"repeated",65,"SH",2,6,"trustful",15,-100,"cooperate","cooperate",3684.79999995232,10
7778355,"repeated",66,"SG",9,14,"trustful",16,-100,"cooperate","cooperate",3026.39999997616,10
7778355,"repeated",67,"PD",3,12,"pessimist",20,-100,"cheat","cheat",3551.89999997616,5
7778355,"repeated",68,"SG",8,14,"optimist",18,-100,"cheat","cheat",3636.09999990463,5
7778355,"repeated",69,"SG",7,12,"trustful",17,-100,"cheat","cooperate",3322.10000002384,12
7778355,"repeated",70,"SG",9,13,"trustful",18,-100,"cheat","cooperate",2168.19999992847,13
7778355,"repeated",71,"SH",2,7,"pessimist",21,-100,"cooperate","cheat",5026.5,2
7778355,"repeated",72,"HG",9,7,"envious",15,-100,"cheat","cooperate",2426.89999997616,7
7778355,"repeated",73,"HG",8,6,"trustful",19,100,"cheat","cooperate",5555.69999992847,6
7778355,"repeated",74,"SH",2,8,"envious",16,100,"cooperate","cheat",2417.09999990463,2
7778355,"repeated",75,"PD",3,13,"optimist",19,-100,"cheat","cheat",2668.19999992847,5
7778355,"repeated",76,"SG",7,14,"pessimist",22,-100,"cheat","cooperate",1811.60000002384,14
7778355,"repeated",77,"PD",1,13,"trustful",20,-100,"cheat","cooperate",2046,13
7778355,"repeated",78,"HG",8,7,"optimist",20,-100,"cheat","cooperate",2733.40000009537,7
7778355,"repeated",79,"SG",8,13,"envious",17,-100,"cheat","cheat",1633.5,5
7778355,"repeated",80,"PD",1,12,"envious",18,-100,"cheat","cheat",1846.60000002384,5
7778355,"repeated",81,"HG",7,8,"trustful",21,100,"cooperate","cooperate",2425.69999992847,10
